rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,10.19779457251231,7.059069952,1.3653693199157715,3.9171694735801768
16,32,3686400,10.22888797124227,4.983679488,1.3563421964645386,3.881967825021527
64,128,14745600,9.982072412967682,7.841594368,1.349857211112976,3.8568747725206776
